username,score,student_id
Shivakumar,8.0,107
2111CS020292,10.0,28
2111CS020650,15.0,77
2111cs020315,8.0,37
2011CS020126,9.0,70
2111CS020510,11.0,41
2111cs020339,10.0,109
2111CS020516,8.0,78
2111CS020489,7.0,79
2111CS020512,11.0,71
2111CS020480,7.0,75
2011CS020392,11.0,55
2111CS020436,11.0,62
2111CS020478,8.0,49
2111CS020606,8.0,113
2111CS020607,8.0,64
Saiteja21,10.0,60
2011CS020382,15.0,47
2111cs020363,13.0,53
2011CS020388,11.0,52
2011CS020385,12.0,117
saketh,12.0,104
2111CS020572,7.0,89
2011CS020381,10.0,111
2011CS020433,10.0,108
2111cs020367,8.0,85
2111cs020269,12.0,58
Nagakalyan,13.0,86
2111CS020244,9.0,43
2111CS020263,9.0,42
2111CS020243,8.0,80
rahul443,15.0,94
2111CS020224,9.0,65
2111cs020259,7.0,69
MANSANISRINATH,11.0,114
2111cs020222,11.0,91
Likitha.P,11.0,99
2011CS020117,11.0,30
2111CS020423,11.0,46
2011CS020191,14.0,105
2111CS020402,9.0,88
2111CS020256,13.0,82
2111CS020040,12.0,87
2111CS020267,9.0,50
2011CS020457,13.0,118
2011cs020431,12.0,35
2011cs020423,11.0,44
2111cs020397,14.0,59
2011CS020451,12.0,116
2011CS020490,9.0,67
2011CS020458,11.0,81
2011CS020476,10.0,63
2111CS020441,11.0,38
2011cs020461,12.0,115
2111CS020409,11.0,39
2111CS020380,13.0,40
2111CS020406,10.0,119
Gandhi123,0.0,123
Rishikesh,0.0,124
BhavyaSri,0.0,126
2011cs020214,0.0,129
